MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Delta_MFCC_1,Delta_MFCC_2,Delta_MFCC_3,Delta_MFCC_4,Delta_MFCC_5,Delta_MFCC_6,Delta_MFCC_7,Delta_MFCC_8,Delta_MFCC_9,Delta_MFCC_10,Delta_MFCC_11,Delta_MFCC_12,Delta_MFCC_13,Delta2_MFCC_1,Delta2_MFCC_2,Delta2_MFCC_3,Delta2_MFCC_4,Delta2_MFCC_5,Delta2_MFCC_6,Delta2_MFCC_7,Delta2_MFCC_8,Delta2_MFCC_9,Delta2_MFCC_10,Delta2_MFCC_11,Delta2_MFCC_12,Delta2_MFCC_13,Energy,Spectral_Centroid,Spectral_Bandwidth,Spectral_Rolloff,Zero_Crossing_Rate,Label
-261.7737,94.51559,13.685821,12.234426,7.2833166,-4.006184,-13.000253,-7.6589613,-3.3180115,-1.2817895,-0.018283196,0.8162049,-11.578953,-0.28563902,0.108172394,-0.0007383762,0.021355066,0.05899098,0.06533288,0.0599051,-0.045804072,-0.0715436,-0.07902747,0.023907581,0.01364253,-0.08317837,-0.52728754,-0.11482155,0.07976596,-0.023853332,-0.05815445,-0.06511026,0.059805114,0.0719041,0.037899077,-0.00447961,0.031558927,0.02224494,0.0027770645,0.080594264,1550.8745487399826,1870.5644915604812,3462.3397435897436,0.0834209735576923,3
-532.2778,99.17895,26.366854,32.34644,-5.079636,-5.2993493,-7.9899364,-7.413963,-18.11314,-4.936706,-11.959955,-2.6852305,-3.066675,-0.11071632,-0.1295016,-0.08557125,-0.06650919,-0.04740401,0.0008744831,0.048188582,0.058778025,0.046348438,0.035349503,0.019622883,-0.013381548,-0.056226667,0.19707775,0.19767734,0.046813127,-0.027001059,-0.0042069214,0.032900136,0.034908015,0.016370345,0.0011614354,-0.0022316135,0.005020603,0.013292292,0.015032196,0.010853978,1068.75096496273,1278.1393648790822,1902.0889945652175,0.057733950407608696,3
-331.28262,109.13377,15.889763,31.321526,-1.5949161,-3.8313665,1.4591525,-12.743476,1.0304645,-4.3298583,-10.419656,-2.9798236,-3.3811166,0.15983222,0.08172742,0.045618184,-0.09831845,-0.05618083,-0.070872106,-0.014395004,0.1080605,0.06767701,-0.02759364,0.069480434,0.06519186,0.07294784,-0.12435083,-0.040146645,-0.017887084,-0.0059351614,-0.011454795,0.020118384,0.030782945,-0.027507257,0.017315738,-0.014792643,-0.02118119,-0.002634732,-0.065628685,0.023294967,1341.4316737365175,1691.9086803757311,3043.7729779411766,0.0720358455882353,3
-257.46014,97.712456,12.459593,9.5741625,-2.235652,-2.0221217,-4.718028,-14.493111,-7.280759,3.133266,-1.4264463,-6.603198,-8.126673,0.2379697,0.02893737,-0.11945051,-0.019926757,0.008447893,0.13578622,0.14292324,0.0367283,0.023565665,-0.011679597,0.005170267,0.07517107,0.06661202,-0.03129691,-0.08553022,-0.043833733,0.040359676,-0.03309545,-0.055642,-0.007294953,0.02640526,0.06135045,-0.00861752,-0.034643516,0.016285196,0.0081819855,0.08136809,1458.1910422628969,1760.6847741518525,3093.017578125,0.08935546875,3
-347.91855,116.5468,30.602917,21.538563,2.5605865,-2.7287998,-1.1946896,-9.360116,-3.9751792,-1.0664935,2.932173,0.85278314,1.3208424,1.0652533,0.015849967,-0.6897343,-0.07333388,-0.075114235,-0.34118125,-0.12834337,-0.11514961,0.11660775,0.06576746,-0.2041896,-0.081914395,0.045860354,0.03562483,0.04023764,-0.15734264,0.009623692,-0.06627892,-0.1394634,-0.09660095,-0.10287266,-0.053643424,0.020884654,0.043220393,-0.026024617,-0.025580708,0.02162809,1278.2189779636578,1704.5699964721662,2553.6099137931033,0.07085971174568965,3
-317.53528,117.91734,22.40051,11.649382,-7.0986304,-0.13622226,7.8209805,-6.737368,-4.3299327,-1.7730047,-3.724864,1.6446155,2.6094174,0.14490472,-0.017542543,0.015619705,0.0334966,-0.00023411398,0.02832538,0.053671878,0.024469549,-0.08808305,-0.024926616,-0.022199105,-0.0747403,-0.028839748,0.06158469,0.018962434,-0.109710276,-0.041213233,-0.021494938,-0.05221109,0.00083476934,0.03412905,-0.0117139295,0.014452375,-0.036266856,-0.091603726,-0.042634662,0.032639384,1234.2856689258574,1679.588086513092,2746.0402397260273,0.06534273330479452,3
-280.0725,22.641462,-6.7728796,6.1803026,-22.489471,9.7391405,-31.001173,-2.476769,-9.598936,-4.5635185,-0.39000925,-13.825555,2.6480184,-1.1166325,0.07504255,-0.059957318,1.3527396,-0.14545986,0.525437,-0.22765967,0.5643105,0.21416302,-0.21269192,0.007929428,-0.1537797,0.042796668,0.3853167,0.28671345,0.19109459,0.22176018,-0.19497968,0.05822112,-0.07636162,-0.0139739085,-0.08978063,-0.054443162,0.14932998,-0.05450978,-0.025555925,0.083546855,2541.682837515899,1874.4688116334778,4789.760044642857,0.20395333426339285,3
-430.13605,68.109535,7.3487163,-0.140601,3.9071188,-15.167251,-6.041438,-4.637371,-10.172778,-6.1567307,-11.302956,1.4100789,-5.930149,-2.3055174,1.2114537,-0.08464201,1.0541887,0.5345561,-0.12201057,0.002531746,-0.03751989,-0.0056518805,-0.5009061,0.18631399,-0.15918745,-0.13619055,-1.3348584,-0.24072164,-0.09561554,0.0015712485,-0.08103779,0.1385033,-0.05694378,0.0035870057,0.100474715,0.11799362,0.07612795,0.054521758,0.006531326,0.019721832,1718.048705107746,1599.1921208152432,2894.761029411765,0.13285558363970587,3
-312.84045,15.075539,4.529112,30.782368,-19.868126,-9.595469,-13.269244,-8.542172,-12.039769,-11.219801,2.4189136,-5.109605,1.2732441,-0.8274106,0.64133257,-0.27252126,0.62543297,0.21671465,0.2552348,-0.03633731,0.15141769,0.037180673,0.009305788,-0.051757373,-0.11552323,0.031615242,0.35443413,0.6680435,-0.04488833,0.42136383,-0.18145716,-0.16028465,-0.3425555,-0.112786725,-0.10938983,-0.2084938,-0.04367044,-0.11104329,-0.077776425,0.069082126,2719.3576703404747,1869.3801690810901,4694.519927536232,0.22778674139492755,3
-307.40854,18.751669,-1.6997551,26.535534,-13.114649,-0.4452702,-15.271695,2.560623,-8.517153,-5.092035,5.12523,-6.486757,3.8896139,1.8543413,-1.420893,-0.06589508,-0.14687827,-0.58763,-0.2367316,-0.45715767,0.5026661,-0.2693418,0.14253707,0.11183357,0.26695296,-0.07036396,-0.2019186,0.33023316,0.34699216,0.69444895,-0.03558886,0.056280527,-0.012075527,0.038944177,-0.08229531,0.025948303,-0.119835205,-0.029598117,-0.06785224,0.06396363,2670.800245559577,1783.6875719683387,4621.09375,0.21922084263392858,3
-558.48926,24.931477,-48.977276,15.418271,-21.005722,-22.121489,-18.37475,-15.699876,4.037269,-15.0675955,-6.0433564,-5.5402703,-10.056981,0.054748945,0.04574761,0.0056108646,0.009622817,0.0073118918,-0.03647156,-0.059865434,-0.031469006,-0.0149588045,-0.036372628,-0.0357929,0.0002548299,0.008693269,-0.022691742,-0.02008662,-0.005479644,-0.008635952,-0.009487465,0.0061779595,0.01477229,0.0044083074,-0.0003794353,0.009670735,0.010659671,-0.002382752,-0.004563899,0.005622034,2577.6921467405905,1742.947713553837,4742.533185840708,0.28178581305309736,3
-527.1001,123.39541,24.223097,29.9459,-8.374799,-15.032129,-6.339558,-5.155171,-16.944572,-1.538498,-6.10096,-1.9461191,-3.205407,-0.30477464,-0.13053688,0.09152644,-0.002094754,-0.025376227,-0.042518683,-0.047850713,-0.048914354,-0.045082863,-0.04501961,-0.03914961,-0.038686994,-0.040186368,0.32787335,0.19487152,-0.034051046,-0.0017203402,0.0032982358,0.018303286,0.010815841,0.0068804007,0.005102709,0.007966728,0.008798464,0.013541467,0.017856246,0.011572648,827.2132595109691,1075.7588599694352,1515.083092485549,0.032127777276011564,3
-583.15137,51.407078,-17.036606,12.419307,-8.305222,-4.0576124,-8.843413,-11.583144,-0.7742994,-3.410895,-0.23931786,-7.277554,-2.2808526,0.12971857,0.16064958,0.11281361,0.07859371,0.07252018,0.072881326,0.052646592,0.014227629,-0.014286656,-0.013804691,0.0051602535,0.018494785,0.016160648,-0.027267134,-0.037112903,-0.03339612,-0.028152518,-0.023088764,-0.021978943,-0.024533577,-0.023895666,-0.01791392,-0.014518723,-0.018004166,-0.020550901,-0.014946114,0.0066529773,2185.377561690117,1874.7873211485532,4375.20032051282,0.25952774439102566,3
-325.41476,16.70085,4.933129,29.580158,-15.770682,0.6259843,-20.521063,-3.4546454,-16.226448,-1.8828726,2.8964949,-9.293724,6.318842,-1.5616161,2.241572,-0.13144746,0.43739253,0.36800566,-0.16073954,-0.5598995,-0.17435993,-0.1658945,-0.5170396,-0.353502,-0.15221593,-0.1169111,0.1837007,0.24456628,0.35443938,0.26198384,-0.01670425,-0.010090367,-0.16156314,0.01717393,-0.17596367,-0.03993529,-0.02047819,0.070153795,-0.0007651591,0.061700962,2491.8068483273064,1794.9286326377355,4490.788246268657,0.19376020289179105,3
-443.23,71.438835,10.975891,0.3006564,1.8030772,-11.106705,-8.347588,-5.1359687,-10.476517,-11.875103,-10.015627,-1.8994508,-5.1942973,-0.96205795,-0.060606144,-0.074792236,0.10170144,-0.011884272,0.2288787,-0.26192722,-0.13234293,0.41212845,-0.05587005,0.18520094,0.17401102,0.27681965,-2.6153889,0.9628811,-0.029156148,0.526422,0.18929192,-0.21967155,0.1880258,-0.14336568,-0.11042529,-0.028763473,-0.13312115,-0.22115031,-0.009488627,0.01178412,2003.4590034814303,1758.5157626645628,3626.220703125,0.13568878173828125,3
-290.94244,30.464777,-21.532722,8.692808,-20.390463,-2.5941813,-26.386385,3.9773145,-6.119045,-11.024798,5.1587973,-14.371954,4.883218,1.6332018,1.7436817,-0.45360038,0.90350264,-0.3446786,-0.5847749,-0.7654091,0.77760106,-0.5959844,-0.52141863,-0.15644428,-0.3691901,0.12802708,-0.47799894,0.009538988,0.14906159,0.3134527,0.022937171,0.1701067,0.29675397,0.09068338,-0.0348089,-0.008527772,-0.08504594,-0.11675006,-0.027766466,0.068409264,2370.8860529352355,1633.623606464118,4028.1519396551726,0.19530408135775862,3
-299.98624,25.087872,-10.47636,19.653616,-22.051792,-0.9841076,-22.824745,-1.9222835,-10.85116,-8.440164,5.74322,-9.464444,6.0071416,1.6792221,0.50800943,-0.63769877,0.7553223,-0.8605791,-0.062270932,-0.44116914,0.11541203,-0.1047878,-0.24031998,-0.019366018,0.087534726,0.04407327,-1.299821,0.7812254,-0.48595145,0.19380388,0.06028071,0.036750346,0.0036358498,0.054231882,0.11624689,-0.15083939,0.08847505,-0.1695623,0.10520655,0.06660505,2515.867543051919,1731.5823386533466,4479.8583984375,0.19776153564453125,3
-461.44818,23.21674,-36.055763,-0.18573847,-16.843893,-14.932689,-11.23395,-16.175718,-1.9415699,-8.689754,-3.841119,-4.58328,0.7737602,0.00018414306,0.0002580263,0.00025125287,0.00024021471,0.0002256422,0.00020819217,0.00018880458,0.0001684013,0.00014803308,0.00012871117,0.00011137004,9.683267e-05,8.5742875e-05,-0.00023959693,-0.0003322429,-0.00031279365,-0.00028139274,-0.00023983917,-0.00019035762,-0.00013555578,-7.841415e-05,-2.1938107e-05,3.0886906e-05,7.716406e-05,0.000114558294,0.00014106568,0.026903369,2325.701134915181,1864.143692507679,4477.4375,0.22987890625,3
-260.1288,98.09545,5.5772395,22.828281,12.165033,-25.885515,-25.187508,2.2086751,-20.597534,-1.8489931,-6.1961813,-4.5096064,1.3628721,0.014563011,0.0012282769,0.06142956,0.04172427,0.0035324027,-0.006339526,-0.006328527,-0.016931582,-0.032467112,-0.048405822,-0.04762805,-0.052315217,-0.03741884,0.52639025,0.3750705,0.017558575,0.0064054895,0.029332494,0.028635934,0.038817484,0.020365773,0.0136589585,-0.0033520556,-0.0098362425,-0.014497378,-0.011158807,0.18330613,955.5685106600912,1182.8923155311186,1848.7112226277372,0.03399791856751825,3
-265.14893,107.93867,7.2679086,16.129066,4.8617177,-23.888622,-19.744602,-0.87558913,-22.391256,1.8977625,-1.7198819,-11.009879,3.6047585,-0.1591861,-0.10722502,0.0165437,-0.009842327,-0.02654254,-0.007366405,-0.0054414463,-0.009274973,-0.0052856607,0.0142098395,0.018195892,0.00026591704,-0.0056000636,0.32695198,0.2841935,0.050293412,0.01673389,0.023086533,0.0045934897,0.0063933996,0.0070309225,-0.00024395448,-0.0032588008,0.003015705,0.0070366757,0.0063546114,0.16462271,785.6499176223069,1069.3258983631763,1549.841243315508,0.02916109625668449,3
-423.2666,8.309191,-48.22831,4.178126,-18.49539,-26.732563,-15.7451,-13.578419,1.2253313,-9.459171,3.711917,17.809101,15.83014,0.19439493,-0.0056600487,0.057570852,0.047104448,0.020748569,-0.02226202,0.025460826,0.022451622,0.02770153,0.016716212,-0.022463482,0.0733911,-0.0032375879,-0.2253571,0.028042326,0.08204923,-0.11926825,0.0024770412,0.04092977,0.019390862,0.044718646,-0.026963817,0.023393612,0.024792071,-0.025167376,-0.042749885,0.030436743,2275.119213104457,1737.355454196259,4176.991150442478,0.19299640486725664,3
-438.63837,87.32811,8.385896,-1.6592709,6.126585,-10.661376,-6.7178483,-18.32814,-13.547255,-15.198007,-13.615622,-8.183164,-9.520574,-0.10924799,2.4764004,-0.21679375,1.194878,0.32021192,-0.3546385,0.24372634,-0.023092145,-0.14048123,-0.0965598,-0.151899,-0.0368085,-0.24070708,-1.3076758,-0.076732054,-0.26557267,0.009106691,-0.23634008,0.0064793085,-0.17735185,0.20362352,0.19094828,0.21512705,0.15043621,0.09197944,0.34881297,0.016215187,1586.8828184796535,1563.7453306841512,2831.967213114754,0.10961513831967214,3
-429.5391,96.71514,3.1062753,-16.54297,2.7306905,-9.042538,-10.758696,-10.894478,-14.424402,-10.0090685,-15.135491,-0.6916941,-4.0646267,-3.944324,2.7341373,1.2367364,1.6280078,0.5614179,0.23953122,0.05890951,-0.5218506,0.13484292,-0.34502074,-0.008434968,-0.3142471,-0.31028184,-2.3577502,-0.09108603,0.335806,0.4236838,0.007590823,0.31893474,0.033214487,-0.15396486,-0.034861628,0.019128166,0.036044538,-0.15448794,0.21760437,0.015219392,1585.6455539444792,1458.7563299363183,2544.441598360656,0.12931448514344263,3
-431.03107,89.84604,21.566137,-5.837713,-0.8784339,-9.461182,-13.9215765,-8.033015,-15.589,-10.307886,-19.710506,-0.79946935,-9.224214,-2.2843812,2.2985737,0.89921224,1.0366263,0.66578716,0.17244288,0.34719968,-0.42598075,0.027579837,-0.37357634,-0.09147304,-0.13909324,-0.16669372,-3.8283637,0.3187288,0.39314514,0.62396693,0.324892,0.26241484,0.050428763,0.060165107,-0.026156995,-0.004746269,0.096479416,-0.2517351,0.081416674,0.016134445,1600.0900138210222,1570.2066159458911,2711.061507936508,0.1136687748015873,3
-275.78152,18.464798,-22.592321,15.408272,-20.64463,-2.7752354,-25.594156,1.3756661,-11.5290165,-6.3762918,1.0810088,-5.065504,2.2528107,1.008595,2.3428717,0.34599003,0.3392769,-0.2357329,-0.006886583,-0.7948486,-0.57751244,-0.3220362,0.0121025,-0.45322168,-0.44927004,0.040750094,-2.9435923,0.896206,0.49199864,0.5106715,0.545735,-0.10295973,0.11536586,-0.10263405,-0.10106353,-0.012457117,0.1224811,-0.054737955,0.0033119582,0.07855678,2469.3344572948376,1760.3692580243433,4477.796052631579,0.19873046875,3
-438.7023,93.82888,13.266609,-22.790716,-4.29696,-7.36503,-5.290869,-12.836988,-7.950539,-13.136012,-11.816707,0.68572634,-4.7076044,-0.3477107,1.6799104,-1.4886155,-0.3572238,0.9414177,0.47057214,-0.08664092,-0.20872879,0.6032619,0.11287386,-0.04316714,-0.1260668,-0.16299008,-2.3999271,-0.3906083,0.21110691,0.6887206,-0.10030361,-0.08120732,0.26172456,0.18341517,-0.11395216,0.067858785,0.05050686,-0.14762451,0.0009088137,0.017603178,1600.163229418231,1526.8938805112762,2519.8863636363635,0.12433416193181818,3
-213.81308,95.501015,-9.87667,-1.1482189,-9.132834,-17.841614,-14.794698,0.2764282,-17.49186,3.309085,-5.2308707,-7.730923,1.4423664,-0.05871868,-0.07407336,-0.04988287,-0.017701974,0.013050978,0.03376673,0.039544012,0.031142473,0.014798252,-0.0009071827,-0.010063184,-0.01306422,-0.015622414,0.16086388,0.2050804,0.15000351,0.08971031,0.047684178,0.030082531,0.02737457,0.02619478,0.019639943,0.009078631,-0.00026762945,-0.0039264513,-6.129192e-05,0.2446756,995.0847004361967,1172.5211239829837,1622.8966346153845,0.06365497295673077,3
-312.812,27.963762,-7.8732457,13.982974,-13.340296,-3.0190566,-16.935026,1.9060736,-4.814096,-8.444369,3.9528925,-8.690551,3.5472338,-1.1496427,1.0565834,-0.79020804,0.29764086,-0.21011442,-0.0013454714,-0.17744799,0.049989223,0.087084554,0.017883169,0.10066372,-0.106936865,0.100843675,1.0338378,0.53033626,-0.014209578,0.10713709,-0.15807292,-0.18634437,-0.03667533,0.11138765,0.038399465,-0.059893053,-0.042198617,-0.115498655,-0.023173794,0.066574894,2451.624329839539,1902.1511690908706,4730.400219298245,0.18164919133771928,3
-438.91153,43.481647,-15.064793,11.888184,0.20588773,-19.578674,-10.940109,-5.569531,-4.278835,-1.5362302,-5.5165896,5.083075,-7.245189,-0.45849177,-0.023624869,0.3571912,0.112299226,0.08492809,0.14366049,0.1039191,0.07945223,0.049555656,-0.022162,-0.011733632,0.02549228,-0.09497101,-0.0015003204,-0.058002852,-0.057694897,0.008430425,0.022883534,-0.0065963743,-0.015728807,-0.0064684073,-0.0021127542,0.003357776,-0.03991367,-0.044038963,-0.019201882,0.022915745,1940.252405467653,1748.7963960708382,3660.4166666666665,0.15423177083333334,3
-535.3,34.568695,-7.5750947,-3.264792,-4.254493,-6.3951426,-15.233761,-5.538859,-9.707688,1.9023392,-9.574392,0.9741617,-7.437519,-0.016767088,-0.023688888,-0.023619669,-0.02350464,-0.023344371,-0.023139676,-0.022891562,-0.022601245,-0.022270199,-0.021899961,-0.021492388,-0.02104943,-0.020573251,0.0037861713,0.0053433455,0.005310279,0.005255296,0.0051788697,0.005081409,0.00496352,0.004825924,0.004669516,0.004495248,0.004304179,0.0040975017,0.0038764966,0.01256409,2328.750498018593,2114.8779801924247,4867.633928571428,0.29341517857142857,3
-255.9061,94.80319,6.743435,17.30686,4.2635155,-14.6452465,-18.915459,-1.9986336,-21.771242,0.45896712,-4.3579617,-6.738007,-0.22399679,-0.25428444,-0.22323303,-0.048489798,-0.033409238,-0.040589567,-0.020516245,-0.01285548,0.0118475035,0.032345843,0.025269873,0.018999709,0.012325962,-0.0022876365,0.4875902,0.45975873,0.113388285,0.015345696,0.03446795,0.02944979,0.02502017,0.019830456,0.013754281,0.01115869,0.003370036,-0.0007330678,-0.0032929487,0.17529975,824.461810123738,1096.4101428815047,1511.9894801980197,0.04013091738861386,3
-302.28836,26.235832,-15.627198,9.714672,-17.611998,-0.27994955,-23.061256,2.7199721,-4.5025105,-8.34961,2.6757784,-9.047062,5.026702,0.9062827,0.22530751,-0.16542178,0.4326678,-0.60122854,0.28663665,-0.5346087,0.14113462,-0.090601556,-0.12918045,-0.38899207,-0.119785614,0.03259318,-1.802127,1.1024423,-0.60178995,0.36365172,0.15770623,-0.27200082,-0.08318069,-0.06459694,0.08937648,-0.25662792,-0.11177516,-0.17707072,0.18259577,0.06346204,2645.7285813344965,1738.2693737980946,4582.283266129032,0.24080928679435484,3
-290.10925,9.240135,-13.709218,15.130086,-18.994987,5.1988106,-15.912428,8.15985,-5.82613,-7.342382,1.5955418,-5.3160586,6.41853,0.21409188,-0.2664573,-0.061999593,0.98710006,-0.6651103,0.5675186,-0.35692808,0.2026539,-0.13608855,0.0095469095,-0.09770641,-0.2635621,0.08752375,-0.33896238,0.6890037,-0.31324303,0.12813693,-0.35009134,-0.24386613,-0.18732141,0.07493401,0.053377364,-0.1735029,0.063715234,0.025861634,0.10405311,0.05579769,2754.8599462102184,1694.6693003053688,4573.5887096774195,0.25436302923387094,3
-299.2214,35.1925,-14.833785,23.102556,-20.45634,-2.7660658,-26.129759,-0.67050123,-9.747782,-12.165081,5.571824,-12.270781,5.6639924,-2.365351,1.7159193,0.26118726,1.1159602,0.45081562,0.10930662,-0.122635044,-0.17298882,-0.18252273,-0.2812511,-0.43700212,-0.3095884,0.22014292,-1.0410283,-0.43266445,0.3564151,0.04767004,0.23072371,0.22431734,0.17654073,0.23869824,0.10557944,0.027033402,-0.05068198,0.108686775,-0.030373232,0.06289246,2139.3695903612997,1691.1835227727709,3854.6362704918033,0.1650870901639344,3
